19
396 411 0
398 409 16
401 408 0
403 408 0
406 407 0
411 405 15
414 404 0
418 403 0
421 402 0
424 402 16
427 401 0
429 401 0
430 401 0
431 401 15
432 401 0
433 401 16
16711680 2 0 8 20
406 428 0
406 429 15
407 429 16
408 430 16
410 430 0
411 430 0
413 430 0
415 430 15
418 430 0
421 429 0
425 429 0
431 428 16
436 427 0
443 427 0
449 426 0
454 424 16
460 423 0
466 421 0
471 419 0
476 418 15
16711680 2 0 8 34
488 390 0
488 391 47
488 392 0
488 393 0
488 394 15
488 396 0
488 398 0
488 401 0
488 403 16
486 406 0
484 409 0
483 413 0
480 416 16
477 420 0
475 423 0
472 428 0
469 433 15
466 437 0
464 442 0
460 447 16
457 451 0
453 456 0
449 461 0
447 464 0
444 469 16
441 473 0
440 475 0
438 478 0
437 480 15
435 483 0
434 485 0
433 487 16
432 488 0
432 490 0
16711680 2 0 8 53
376 503 0
373 505 0
371 509 0
369 512 16
367 515 0
366 519 0
365 522 0
365 525 0
365 527 0
365 529 16
368 531 0
369 534 0
371 536 0
373 537 15
375 539 0
377 540 0
380 541 0
382 542 16
384 542 0
387 542 0
389 542 0
392 542 16
395 541 0
399 540 0
401 538 0
404 536 15
406 533 0
408 531 0
410 528 16
411 526 0
412 523 0
412 520 0
412 517 0
411 512 15
410 509 0
409 507 0
406 504 0
405 500 16
402 497 0
399 493 0
395 491 0
390 488 16
387 485 0
382 482 15
379 481 0
376 480 0
372 480 0
369 480 0
367 480 0
364 480 16
361 480 0
360 480 0
359 480 16
16711680 2 0 8 59
578 408 0
577 408 0
576 408 0
575 408 0
573 409 16
572 410 0
570 412 0
569 413 0
567 415 15
567 417 0
566 421 0
565 424 0
564 427 16
564 430 0
565 433 0
567 436 0
570 440 16
574 443 0
577 447 0
582 451 15
587 454 16
591 456 0
597 456 0
603 457 0
608 458 16
615 458 0
620 458 0
626 458 0
632 457 15
637 455 0
641 453 0
645 450 0
648 447 16
650 444 0
651 441 0
652 438 0
652 435 15
651 432 0
649 427 0
646 423 0
642 418 16
637 413 0
632 409 0
628 406 0
620 403 16
615 401 0
609 398 0
603 397 0
598 396 15
593 396 0
589 396 0
586 396 0
583 396 16
581 396 0
579 396 0
578 397 0
576 397 16
575 399 0
574 399 0
16711680 2 0 8 23
573 443 0
571 449 0
569 455 16
567 462 0
565 468 0
562 476 0
560 483 16
556 490 0
554 497 0
551 506 0
548 513 15
546 520 0
544 527 0
542 532 16
540 536 0
538 541 0
538 543 0
538 545 16
538 547 0
538 549 0
538 551 0
538 552 15
539 552 0
16711680 2 0 8 20
614 483 0
612 483 31
611 485 0
608 487 0
607 490 0
605 493 0
602 495 16
600 499 0
596 502 0
593 506 0
591 509 15
589 513 0
588 515 0
586 518 0
585 520 16
584 522 0
582 525 0
581 527 0
579 528 16
577 530 0
16711680 2 0 8 28
510 525 0
511 525 0
513 525 16
514 525 0
515 525 0
518 526 0
521 526 15
525 526 0
530 527 0
538 527 0
549 527 16
561 527 0
574 527 0
588 527 0
605 527 16
624 527 0
640 527 0
655 528 0
668 528 15
681 529 0
693 529 0
705 529 0
716 529 16
725 529 0
731 528 0
737 527 0
741 526 15
743 525 0
16711680 2 0 8 3
762 526 0
762 525 47
762 524 15
